"","Date","BefOnAft","FStn","NF","InOut","Ncrossing","cutUncut","timeCut"
"1","15-03-2016","Before","T7","N","O",2,"Cut","Before"
"2","15-03-2016","Before","T7","F","I",2,"Cut","Before"
"3","15-03-2016","Before","NT7","F","O",2,"Uncut","Before"
"4","15-03-2016","Before","NT7","N","O",1,"Uncut","Before"
"5","15-03-2016","Before","NT9","N","O",3,"Uncut","Before"
"6","15-03-2016","Before","NT9","F","O",8,"Uncut","Before"
"7","15-03-2016","Before","NT9","F","O",8,"Uncut","Before"
"8","15-03-2016","Before","T9","F","O",2,"Cut","Before"
"9","15-03-2016","Before","T9","F","O",2,"Cut","Before"
"10","15-03-2016","Before","T6","N","O",2,"Cut","Before"
"11","15-03-2016","Before","T6","F","O",3,"Cut","Before"
"12","15-03-2016","Before","T6","F","O",3,"Cut","Before"
"13","15-03-2016","Before","NT5","F","O",6,"Uncut","Before"
"14","15-03-2016","Before","NT5","F","O",6,"Uncut","Before"
"15","15-03-2016","Before","T4","F","I",8,"Cut","Before"
"16","15-03-2016","Before","T4","N","I",6,"Cut","Before"
"17","15-03-2016","Before","T4","N","I",6,"Cut","Before"
"18","15-03-2016","Before","NT4","N","I",8,"Uncut","Before"
"19","15-03-2016","Before","NT4","F","I",13,"Uncut","Before"
"20","15-03-2016","Before","T3","F","I",15,"Cut","Before"
"21","15-03-2016","Before","T3","N","I",8,"Cut","Before"
"22","15-03-2016","Before","NT3","N","O",2,"Uncut","Before"
"23","15-03-2016","Before","NT3","N","O",2,"Uncut","Before"
"24","15-03-2016","Before","NT2","F","O",2,"Uncut","Before"
"25","15-03-2016","Before","T2","N","O",1,"Cut","Before"
"26","15-03-2016","Before","T1","N","O",7,"Cut","Before"
"27","15-03-2016","Before","T1","F","I",10,"Cut","Before"
"28","15-03-2016","Before","NT1","N","I",9,"Uncut","Before"
"29","15-03-2016","Before","NT1","F","I",13,"Uncut","Before"
"30","15-03-2016","Before","NT1","F","I",13,"Uncut","Before"
"31","16-03-2016","Before","T7","F","O",1,"Cut","Before"
"32","16-03-2016","Before","NT9","F","O",4,"Uncut","Before"
"33","16-03-2016","Before","NT9","F","O",4,"Uncut","Before"
"34","16-03-2016","Before","NT9","N","O",2,"Uncut","Before"
"35","16-03-2016","Before","NT9","N","O",2,"Uncut","Before"
"36","16-03-2016","Before","T9","F","O",1,"Cut","Before"
"37","16-03-2016","Before","NT6","F","I",3,"Uncut","Before"
"38","16-03-2016","Before","NT6","F","I",3,"Uncut","Before"
"39","16-03-2016","Before","T6","F","O",2,"Cut","Before"
"40","16-03-2016","Before","NT5","F","O",2,"Uncut","Before"
"41","16-03-2016","Before","NT5","F","O",2,"Uncut","Before"
"42","16-03-2016","Before","NT5","N","O",2,"Uncut","Before"
"43","16-03-2016","Before","T4","N","I",11,"Cut","Before"
"44","16-03-2016","Before","T4","N","I",11,"Cut","Before"
"45","16-03-2016","Before","T4","F","I",13,"Cut","Before"
"46","16-03-2016","Before","NT4","F","I",9,"Uncut","Before"
"47","16-03-2016","Before","NT4","F","I",9,"Uncut","Before"
"48","16-03-2016","Before","NT4","N","I",4,"Uncut","Before"
"49","16-03-2016","Before","T3","F","I",8,"Cut","Before"
"50","16-03-2016","Before","T3","N","I",4,"Cut","Before"
"51","16-03-2016","Before","T3","N","I",4,"Cut","Before"
"52","16-03-2016","Before","NT3","F","I",1,"Uncut","Before"
"53","16-03-2016","Before","NT3","N","O",2,"Uncut","Before"
"54","16-03-2016","Before","NT2","F","O",1,"Uncut","Before"
"55","16-03-2016","Before","T1","F","I",3,"Cut","Before"
"56","16-03-2016","Before","NT1","F","I",10,"Uncut","Before"
"57","16-03-2016","Before","NT1","N","I",6,"Uncut","Before"
"58","16-03-2016","Before","NT1","N","I",6,"Uncut","Before"
"59","16-03-2016","Before","NT10","N",NA,1,"Uncut","Before"
"60","16-03-2016","Before","NT10","F",NA,2,"Uncut","Before"
"61","16-03-2016","Before","NT10","F",NA,2,"Uncut","Before"
"62","16-03-2016","Before","NT11","N",NA,3,"Uncut","Before"
"63","16-03-2016","Before","NT11","N",NA,3,"Uncut","Before"
